school_name,school_type,grades_served,address,city,state,zip_code,website_url,phone,latitude,longitude,setting,enrollment_count,student_teacher_ratio,enrollment_prek,enrollment_k,enrollment_1,enrollment_2,enrollment_3,enrollment_4,enrollment_5,enrollment_6,enrollment_7,enrollment_8,enrollment_9,enrollment_10,enrollment_11,enrollment_12,district,district_id,math_proficiency_pct,reading_proficiency_pct,state_percentile_rank,disadvantaged_pct,minority_enrollment_pct,white_pct,black_pct,hispanic_pct,asian_pct,multiracial_pct,full_time_teachers,certified_teachers_pct,counselors_count,source,source_url
Baldwin Elementary,Public,PK-5,123 Price Pl,Norcross,GA,30071,,6782255500,33.938851,-84.204352,large suburb,944,13,11.0,152.0,161.0,165.0,173.0,137.0,145.0,,,,,,,,Gwinnett County School District,106134.0,34.0,25.0,44.49,84.0,98.0,2.4,8.2,84.2,3.5,1.6,75,100.0,2.0,US News,https://www.usnews.com/education/k12/georgia/baldwin-elementary-210897
Beaver Ridge Elementary School,Public,PK-5,1978 Beaver Ruin Rd,Norcross,GA,30071,http://www.breschool.com/home.html,7704476307,33.9346,-84.1732,large suburb,981,13,42.0,180.0,149.0,155.0,161.0,142.0,152.0,,,,,,,,Gwinnett County School District,106134.0,28.0,24.0,31.05,85.0,98.0,2.1,19.3,72.3,4.1,2.1,75,99.0,2.0,US News,https://www.usnews.com/education/k12/georgia/beaver-ridge-elementary-school-211083
Benefield Elementary School,Public,PK-5,1221 Old Norcross Rd,Lawrenceville,GA,30046,http://www.benefield.org/home.html,7709623771,33.954593,-84.029859,large suburb,1248,15,69.0,186.0,209.0,192.0,182.0,215.0,195.0,,,,,,,,Gwinnett County School District,106134.0,38.0,29.0,54.3,82.0,94.0,6.4,26.4,57.2,6.7,2.9,85,96.0,2.0,US News,https://www.usnews.com/education/k12/georgia/benefield-elementary-school-211195
Britt Elementary School,Public,PK-5,2503 Skyland Dr,Snellville,GA,30078,,7709724500,33.8539,-84.0104,large suburb,598,12,1.0,85.0,101.0,101.0,113.0,90.0,107.0,,,,,,,,Gwinnett County School District,106134.0,30.0,35.0,51.33,81.0,93.0,7.2,52.8,30.3,4.5,4.7,49,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/britt-elementary-school-211681
Centerville Elementary School,Public,PK-5,3115 Scenic Hwy S,Snellville,GA,30039,,7709722220,33.8231,-84.036,large suburb,658,12,0.0,88.0,104.0,124.0,103.0,128.0,111.0,,,,,,,,Gwinnett County School District,106134.0,35.0,30.0,48.59,86.0,92.0,8.2,52.0,28.1,5.6,5.2,57,96.0,1.0,US News,https://www.usnews.com/education/k12/georgia/centerville-elementary-school-212333
Ferguson Elementary School,Public,PK-5,1755 Centerview Dr,Duluth,GA,30096,,6782455450,33.950825,-84.121763,large suburb,838,11,27.0,114.0,147.0,146.0,131.0,133.0,140.0,,,,,,,,Gwinnett County School District,106134.0,28.0,23.0,28.56,85.0,97.0,3.3,29.6,59.3,4.8,2.6,74,100.0,2.0,US News,https://www.usnews.com/education/k12/georgia/ferguson-elementary-school-214661
Graves Elementary School,Public,PK-5,1700 Graves Rd,Norcross,GA,30093,,7703268000,33.90169,-84.223221,large suburb,1051,13,18.0,166.0,180.0,174.0,183.0,159.0,171.0,,,,,,,,Gwinnett County School District,106134.0,26.0,25.0,36.2,87.0,99.0,1.4,12.3,83.3,1.8,1.2,82,95.0,2.0,US News,https://www.usnews.com/education/k12/georgia/graves-elementary-school-215552
Hopkins Elementary School,Public,PK-5,1315 Dickens Rd Nw,Lilburn,GA,30047,,7705642661,33.9079,-84.1474,large suburb,1117,12,41.0,165.0,184.0,190.0,172.0,191.0,174.0,,,,,,,,Gwinnett County School District,106134.0,30.0,18.0,27.35,90.0,97.0,3.1,6.3,83.6,5.6,1.2,90,96.0,2.0,US News,https://www.usnews.com/education/k12/georgia/hopkins-elementary-school-216484
Lawrenceville Elementary School,Public,PK-5,122 Gwinnett Dr,Lawrenceville,GA,30046,,7709631813,33.9459,-83.9949,large suburb,706,12,45.0,104.0,123.0,87.0,125.0,115.0,107.0,,,,,,,,Gwinnett County School District,106134.0,21.0,20.0,,88.0,96.0,3.7,48.6,38.7,2.8,5.7,59,98.0,1.0,US News,https://www.usnews.com/education/k12/georgia/lawrenceville-elementary-school-218029
Magill Elementary School,Public,PK-5,3900 Brushy Fork Rd,Loganville,GA,30052,,7705541030,33.8391,-83.9419,large suburb,1312,13,34.0,186.0,208.0,224.0,228.0,205.0,227.0,,,,,,,,Gwinnett County School District,106134.0,35.0,33.0,54.79,80.0,92.0,7.5,59.2,26.8,1.8,3.9,99,97.0,2.0,US News,https://www.usnews.com/education/k12/georgia/magill-elementary-school-218654
Meadowcreek Elementary School,Public,PK-5,5025 Georgia Belle Ct,Norcross,GA,30093,,7709315701,33.9216,-84.1663,large suburb,852,11,28.0,145.0,134.0,159.0,130.0,113.0,143.0,,,,,,,,Gwinnett County School District,106134.0,27.0,20.0,31.7,91.0,99.0,1.1,17.3,75.2,2.9,2.8,79,98.0,2.0,US News,https://www.usnews.com/education/k12/georgia/meadowcreek-elementary-school-219154
Minor Elementary School,Public,PK-5,4129 Shady Dr Nw,Lilburn,GA,30047,,7709259543,33.9177,-84.1291,large suburb,886,12,28.0,141.0,140.0,152.0,142.0,135.0,148.0,,,,,,,,Gwinnett County School District,106134.0,31.0,33.0,51.97,88.0,95.0,4.6,19.5,64.8,8.9,1.8,76,96.0,1.0,US News,https://www.usnews.com/education/k12/georgia/minor-elementary-school-219442
Nesbit Elementary School,Public,PK-5,6575 Cherokee Dr,Tucker,GA,30084,,7704142740,33.8761,-84.1991,large suburb,1196,13,45.0,204.0,200.0,193.0,171.0,202.0,181.0,,,,,,,,Gwinnett County School District,106134.0,24.0,20.0,,89.0,98.0,2.3,15.4,78.3,2.5,1.1,95,95.0,2.0,US News,https://www.usnews.com/education/k12/georgia/nesbit-elementary-school-219836
Norcross Elementary School,Public,PK-5,150 Hunt St,Norcross,GA,30071,,7704482188,33.9457,-84.2068,large suburb,773,12,7.0,112.0,142.0,129.0,127.0,135.0,121.0,,,,,,,,Gwinnett County School District,106134.0,33.0,28.0,55.75,89.0,98.0,1.9,15.1,75.8,4.9,2.2,67,100.0,2.0,US News,https://www.usnews.com/education/k12/georgia/norcross-elementary-school-219984
North Metro Academy of Performing Arts,Public,PK-5,5995 Crooked Creek Road,Peachtree Corners,GA,30092,,7709033400,33.963282,-84.236674,large suburb,215,9,0.0,25.0,31.0,41.0,43.0,43.0,32.0,,,,,,,,Gwinnett County School District,106134.0,27.0,27.0,34.75,79.0,96.0,4.2,81.4,7.9,0.5,6.0,23,92.0,1.0,US News,https://www.usnews.com/education/k12/georgia/north-metro-academy-of-performing-arts-245949
Rockbridge Elementary School,Public,PK-5,6066 Rockbridge School Rd,Norcross,GA,30093,,7704489363,33.8996,-84.1948,large suburb,999,12,0.0,146.0,170.0,180.0,179.0,155.0,169.0,,,,,,,,Gwinnett County School District,106134.0,25.0,19.0,,93.0,99.0,1.0,10.8,82.9,4.3,0.9,83,94.0,2.0,US News,https://www.usnews.com/education/k12/georgia/rockbridge-elementary-school-222439
North Gwinnett Middle School,Public,6-8,170 Peachtree Industrial Blvd,Sugar Hill,GA,30518,,6787452300,34.079,-84.0614,large suburb,2242,16,,,,,,,,761.0,761.0,720.0,,,,,Gwinnett County School District,106134.0,77.0,75.0,,25.0,65.0,35.0,11.4,8.2,39.3,5.8,138,98.0,4.0,US News,https://www.usnews.com/education/k12/georgia/north-gwinnett-middle-school-266474
Crews Middle School,Public,6-8,1000 Old Snellville Hwy,Lawrenceville,GA,30044,,7709826940,33.9071,-84.0088,large suburb,1416,17,,,,,,,,444.0,476.0,496.0,,,,,Gwinnett County School District,106134.0,73.0,71.0,,44.0,75.0,24.9,32.5,15.7,20.8,5.6,84,99.0,3.0,US News,https://www.usnews.com/education/k12/georgia/crews-middle-school-261835
Osborne Middle School,Public,6-8,4404 Braselton Hwy,Hoschton,GA,30548,http://www.gwinnett.k12.ga.us/OsborneMS/home.html,7709045400,34.078014,-83.872967,large suburb,1723,16,,,,,,,,577.0,538.0,608.0,,,,,Gwinnett County School District,106134.0,67.0,71.0,,39.0,61.0,39.1,24.1,17.2,14.5,4.6,108,99.0,3.0,US News,https://www.usnews.com/education/k12/georgia/osborne-middle-school-266842
Hull Middle School,Public,6-8,1950 Old Peachtree Rd,Duluth,GA,30097,,7702323200,34.0136,-84.1032,large suburb,1251,15,,,,,,,,437.0,405.0,409.0,,,,,Gwinnett County School District,106134.0,65.0,67.0,,47.0,88.0,12.4,30.2,17.0,34.7,5.3,82,94.0,3.0,US News,https://www.usnews.com/education/k12/georgia/hull-middle-school-263980
Jones Middle School,Public,6-8,3575 Ridge Rd,Buford,GA,30519,,7709045450,34.1033,-83.9372,large suburb,1744,16,,,,,,,,598.0,554.0,592.0,,,,,Gwinnett County School District,106134.0,60.0,62.0,,45.0,72.0,28.4,23.9,21.8,21.0,4.8,107,100.0,2.0,US News,https://www.usnews.com/education/k12/georgia/jones-middle-school-264559
Five Forks Middle School,Public,6-8,3250 River Dr,Lawrenceville,GA,30044,,7709721506,33.8842,-84.0693,large suburb,1257,16,,,,,,,,405.0,429.0,423.0,,,,,Gwinnett County School District,106134.0,58.0,60.0,,51.0,75.0,24.6,29.5,20.1,18.7,6.9,78,99.0,2.0,US News,https://www.usnews.com/education/k12/georgia/five-forks-middle-school-262768
Lanier Middle School,Public,6-8,6482 Suwanee Dam Rd,Sugar Hill,GA,30518,http://www.lanierms.org/index.php,7709458419,34.148298,-84.065636,large suburb,1295,14,,,,,,,,422.0,418.0,455.0,,,,,Gwinnett County School District,106134.0,54.0,60.0,,53.0,65.0,34.9,18.5,30.7,9.4,6.4,93,100.0,3.0,US News,https://www.usnews.com/education/k12/georgia/lanier-middle-school-264956
Bay Creek Middle School,Public,6-8,821 Cooper Rd,Grayson,GA,30017,,6783447570,33.8727,-83.9606,large suburb,1391,17,,,,,,,,423.0,481.0,487.0,,,,,Gwinnett County School District,106134.0,54.0,58.0,,63.0,88.0,12.2,61.1,14.9,6.5,5.1,82,94.0,2.0,US News,https://www.usnews.com/education/k12/georgia/bay-creek-middle-school-260404
Coleman Middle School,Public,6-8,3057 Main St,Duluth,GA,30096,,6784074700,34.00445,-84.142841,large suburb,750,14,,,,,,,,232.0,254.0,264.0,,,,,Gwinnett County School District,106134.0,54.0,57.0,,49.0,82.0,18.1,34.1,24.3,17.6,5.6,55,98.0,1.0,US News,https://www.usnews.com/education/k12/georgia/coleman-middle-school-261620
Couch Middle School,Public,6-8,1777 Grayson Hwy,Grayson,GA,30017,,6784077272,33.90106,-83.967006,large suburb,1101,16,,,,,,,,361.0,371.0,369.0,,,,,Gwinnett County School District,106134.0,51.0,59.0,,60.0,87.0,12.9,48.0,24.3,10.2,4.5,68,95.0,3.0,US News,https://www.usnews.com/education/k12/georgia/couch-middle-school-261763
Trickum Middle School,Public,6-8,130 Killian Hill Rd Sw,Lilburn,GA,30047,http://www.gwinnett.k12.ga.us/TrickumMS/home.html,7709212705,33.886714,-84.119753,large suburb,2211,16,,,,,,,,739.0,707.0,765.0,,,,,Gwinnett County School District,106134.0,50.0,54.0,,62.0,80.0,20.5,22.3,29.8,22.1,5.1,137,98.0,3.0,US News,https://www.usnews.com/education/k12/georgia/trickum-middle-school-269263
Mcconnell Middle School,Public,6-8,550 Ozora Rd,Loganville,GA,30052,,7705541000,33.8952,-83.9142,large suburb,2058,16,,,,,,,,668.0,708.0,682.0,,,,,Gwinnett County School District,106134.0,52.0,51.0,,60.0,84.0,16.0,55.6,19.5,3.1,5.4,132,95.0,4.0,US News,https://www.usnews.com/education/k12/georgia/mcconnell-middle-school-265732
Northbrook Middle School,Public,6-8,1221 Northbrook Pkwy,Suwanee,GA,30024,,6784077140,34.00673,-84.068731,large suburb,932,16,,,,,,,,331.0,308.0,293.0,,,,,Gwinnett County School District,106134.0,48.0,52.0,,68.0,88.0,11.7,29.5,36.1,17.9,4.6,60,96.0,2.0,US News,https://www.usnews.com/education/k12/georgia/northbrook-middle-school-266545
Dacula Middle School,Public,6-8,137 Dacula Rd,Dacula,GA,30019,,7709631110,33.9913,-83.8947,large suburb,1813,16,,,,,,,,585.0,618.0,610.0,,,,,Gwinnett County School District,106134.0,42.0,50.0,,68.0,84.0,15.9,47.9,25.6,5.5,4.9,110,97.0,3.0,US News,https://www.usnews.com/education/k12/georgia/dacula-middle-school-261906
Creekland Middle School,Public,6-8,170 Russell Rd,Lawrenceville,GA,30043,,7703384700,34.0011,-84.008,large suburb,1718,15,,,,,,,,523.0,586.0,609.0,,,,,Gwinnett County School District,106134.0,44.0,49.0,,64.0,84.0,15.8,32.9,33.4,10.5,7.0,115,92.0,2.0,US News,https://www.usnews.com/education/k12/georgia/creekland-middle-school-261800
Pinckneyville Middle School,Public,6-8,5440 W Jones Bridge Rd,Peachtree Corners,GA,30092,,7702630860,33.98466,-84.228941,large suburb,1136,13,,,,,,,,375.0,396.0,365.0,,,,,Gwinnett County School District,106134.0,42.0,48.0,,58.0,74.0,25.9,28.9,35.7,5.5,3.9,89,95.0,3.0,US News,https://www.usnews.com/education/k12/georgia/pinckneyville-middle-school-267126
Sweetwater Middle School,Public,6-8,3500 Cruse Rd,Lawrenceville,GA,30044,,7709234131,33.9265,-84.1076,large suburb,1441,14,,,,,,,,459.0,476.0,506.0,,,,,Gwinnett County School District,106134.0,32.0,37.0,,87.0,97.0,2.9,18.5,70.2,6.2,2.0,104,94.0,3.0,US News,https://www.usnews.com/education/k12/georgia/sweetwater-middle-school-268940
Duluth Middle School,Public,6-8,3200 Pleasant Hill Rd,Duluth,GA,30096,,7704763372,33.987,-84.1584,large suburb,1280,13,,,,,,,,414.0,419.0,447.0,,,,,Gwinnett County School District,106134.0,35.0,37.0,,79.0,92.0,7.8,22.7,54.2,11.4,3.7,102,94.0,2.0,US News,https://www.usnews.com/education/k12/georgia/duluth-middle-school-262219
Richards Middle School,Public,6-8,3555 Sugarloaf Pkwy,Lawrenceville,GA,30044,,7709957133,33.9278,-84.0202,large suburb,2026,15,,,,,,,,709.0,663.0,654.0,,,,,Gwinnett County School District,106134.0,29.0,37.0,,85.0,95.0,5.1,28.7,56.4,7.5,2.1,136,91.0,5.0,US News,https://www.usnews.com/education/k12/georgia/richards-middle-school-267567
Snellville Middle School,Public,6-8,3155 Pate Rd,Snellville,GA,30078,,7709721530,33.8341,-84.0031,large suburb,876,14,,,,,,,,271.0,277.0,328.0,,,,,Gwinnett County School District,106134.0,26.0,40.0,,81.0,96.0,4.3,65.4,24.2,2.9,3.0,62,81.0,3.0,US News,https://www.usnews.com/education/k12/georgia/snellville-middle-school-268406
Berkmar Middle School,Public,6-8,4355 Lawrenceville Hwy Nw,Lilburn,GA,30047,,7706382300,33.9038,-84.1285,large suburb,1065,13,,,,,,,,367.0,364.0,334.0,,,,,Gwinnett County School District,106134.0,26.0,34.0,,92.0,97.0,3.0,14.7,73.3,7.2,1.6,81,88.0,3.0,US News,https://www.usnews.com/education/k12/georgia/berkmar-middle-school-260534
Jordan Middle School,Public,6-8,8 Village Way,Lawrenceville,GA,30046,,7708226500,33.961894,-83.969502,large suburb,774,13,,,,,,,,267.0,250.0,257.0,,,,,Gwinnett County School District,106134.0,28.0,32.0,,89.0,92.0,8.1,42.2,42.9,3.0,3.6,60,79.0,2.0,US News,https://www.usnews.com/education/k12/georgia/jordan-middle-school-264567
Moore Middle School,Public,6-8,1221 Lawrenceville Hwy,Lawrenceville,GA,30046,,6782267100,33.9395,-84.0215,large suburb,936,14,,,,,,,,292.0,307.0,337.0,,,,,Gwinnett County School District,106134.0,29.0,35.0,,86.0,90.0,9.6,36.2,44.2,5.8,4.0,67,92.0,3.0,US News,https://www.usnews.com/education/k12/georgia/moore-middle-school-266093
Summerour Middle School,Public,6-8,321 Price Place Pl Nw,Norcross,GA,30071,,7704483045,33.941018,-84.202165,large suburb,1411,12,,,,,,,,436.0,465.0,510.0,,,,,Gwinnett County School District,106134.0,25.0,32.0,,90.0,98.0,2.1,14.7,76.7,4.8,1.3,119,92.0,3.0,US News,https://www.usnews.com/education/k12/georgia/summerour-middle-school-268870
Grace Snell Middle School,Public,6-8,3800 Brushy Fork Rd,Loganville,GA,30052,,7705547750,33.8419,-83.9441,large suburb,1258,15,,,,,,,,410.0,447.0,401.0,,,,,Gwinnett County School District,106134.0,25.0,34.0,,78.0,95.0,5.5,67.2,21.2,1.9,3.4,83,84.0,3.0,US News,https://www.usnews.com/education/k12/georgia/grace-snell-middle-school-263229
Gwinnett Intervention Education Center (Give) West,Public,6-12,5550 Peachtree Industrial Blvd,Norcross,GA,30071,,7702465300,33.95649,-84.214236,large suburb,222,7,,,,,,,,1.0,13.0,39.0,,,,,Gwinnett County School District,106134.0,3.0,12.0,,79.0,94.0,5.9,26.6,60.8,3.2,3.6,32,94.0,3.0,US News,https://www.usnews.com/education/k12/georgia/gwinnett-intervention-education-center-give-west-5956
Gwinnett Intervention Education (Give) Center East,Public,6-12,723 Hi Hope Rd,Lawrenceville,GA,30043,,7703384855,33.986333,-83.971812,large suburb,332,8,,,,,,,,1.0,29.0,44.0,,,,,Gwinnett County School District,106134.0,3.0,12.0,,76.0,92.0,8.1,65.4,17.5,3.3,5.7,42,100.0,3.0,US News,https://www.usnews.com/education/k12/georgia/gwinnett-intervention-education-give-center-east-5938
International Transition Center,Public,6-12,1335 Old Norcross Rd,Lawrenceville,GA,30046,,7703168944,33.963667,-84.004324,large suburb,632,12,,,,,,,,0.0,0.0,97.0,,,,,Gwinnett County School District,106134.0,1.0,3.0,,91.0,100.0,0.5,1.3,97.3,0.9,,52,91.0,2.0,US News,https://www.usnews.com/education/k12/georgia/international-transition-center-200321
Lilburn Middle School,Public,6-8,4994 Lawrenceville Hwy Nw,Lilburn,GA,30047,,7709211776,33.8876,-84.1446,large suburb,1609,13,,,,,,,,534.0,549.0,526.0,,,,,Gwinnett County School District,106134.0,24.0,27.0,,93.0,98.0,1.9,9.3,80.5,7.1,0.9,126,85.0,3.0,US News,https://www.usnews.com/education/k12/georgia/lilburn-middle-school-265148
Radloff Middle School,Public,6-8,3939 Shackleford Rd,Duluth,GA,30096,,6782453400,33.9459,-84.1397,large suburb,1304,12,,,,,,,,467.0,400.0,437.0,,,,,Gwinnett County School District,106134.0,20.0,31.0,,91.0,98.0,2.1,17.2,75.4,4.0,1.2,107,89.0,3.0,US News,https://www.usnews.com/education/k12/georgia/radloff-middle-school-267409
Shiloh Middle School,Public,6-8,4285 Shiloh Rd,Snellville,GA,30039,,7709723224,33.8258,-84.0725,large suburb,1571,13,,,,,,,,521.0,543.0,507.0,,,,,Gwinnett County School District,106134.0,21.0,37.0,,83.0,96.0,4.4,59.1,28.4,3.6,4.3,118,88.0,3.0,US News,https://www.usnews.com/education/k12/georgia/shiloh-middle-school-268280
Oakland Meadow School,Public,PK-12,590 Old Snellville Hwy,Lawrenceville,GA,30046,,7705136800,33.925915,-83.99989,large suburb,54,1,3.0,1.0,1.0,5.0,4.0,7.0,0.0,2.0,1.0,3.0,,,,,Gwinnett County School District,106134.0,25.0,75.0,,67.0,87.0,13.0,29.6,46.3,9.3,,68,99.0,,US News,https://www.usnews.com/education/k12/georgia/oakland-meadow-school-138565
Twin Rivers Middle School,Public,6-8,2300 Braselton Hwy,Buford,GA,30519,,6784077550,34.04576,-83.946516,large suburb,1627,15,,,,,,,,535.0,561.0,531.0,,,,,Gwinnett County School District,106134.0,55.0,61.0,,60.0,79.0,21.5,31.3,32.0,10.9,4.2,107,94.0,4.0,US News,https://www.usnews.com/education/k12/georgia/twin-rivers-middle-school-269336
"Gwinnett School of Mathematics, Science and Technology",Public,9-12,970 Mcelvaney Ln,Lawrenceville,Georgia,30044,,(678) 518-6700,33.952818,-84.060288,Large Suburb,1275,16,,,,,,,,,,,368.0,334.0,314.0,259.0,Gwinnett County School District,,100.0,97.0,99.99,39.9,86.1,13.9,24.6,9.8,47.8,3.7,78,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/gwinnett-school-of-mathematics-science-and-technology-5955
North Gwinnett High School,Public,9-12,20 Level Creek Rd,Suwanee,Georgia,30024,,(770) 945-9558,34.0855,-84.0716,Large Suburb,3067,19,,,,,,,,,,,745.0,831.0,765.0,726.0,Gwinnett County School District,,50.0,65.0,95.37,22.0,60.9,39.1,13.7,10.0,31.5,5.7,166,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/north-gwinnett-high-school-5942
Paul Duke Stem High School,Public,9-12,5850 Peachtree Industrial Blvd,Norcross,Georgia,30071,,(470) 323-3600,33.95221,-84.223131,Large Suburb,1386,19,,,,,,,,,,,387.0,366.0,318.0,315.0,Gwinnett County School District,,30.0,62.0,87.26,63.9,84.2,15.8,22.6,48.4,9.7,3.2,75,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/paul-duke-stem-high-school-409382
Brookwood High School,Public,9-12,1255 Dogwood Rd,Snellville,Georgia,30078,,(770) 972-7642,33.8837,-84.04,Large Suburb,3880,19,,,,,,,,,,,979.0,1030.0,959.0,912.0,Gwinnett County School District,,41.0,55.0,87.96000000000001,45.0,74.0,26.0,31.6,18.5,19.0,4.6,210,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/brookwood-high-school-5948
Mill Creek High School,Public,9-12,4400 Braselton Hwy,Hoschton,Georgia,30548,http://www.millcreekhighschool.org/index.php,(678) 714-5850,34.0791,-83.8783,Large Suburb,2745,17,,,,,,,,,,,657.0,711.0,673.0,704.0,Gwinnett County School District,,45.0,63.0,91.2,33.6,55.0,45.0,23.1,15.2,11.4,5.1,163,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/mill-creek-high-school-5954
Peachtree Ridge High School,Public,9-12,1555 Old Peachtree Rd Nw,Suwanee,Georgia,30024,,(678) 957-3100,34.0131,-84.0873,Large Suburb,3304,18,,,,,,,,,,,830.0,789.0,840.0,845.0,Gwinnett County School District,,31.0,49.0,77.77,51.7,88.0,12.0,31.1,26.0,27.0,3.8,182,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/peachtree-ridge-high-school-5953
Archer High School,Public,9-12,2255 New Hope Rd,Lawrenceville,Georgia,30045,,(678) 407-7700,33.916231,-83.893516,Large Suburb,3073,19,,,,,,,,,,,832.0,778.0,831.0,632.0,Gwinnett County School District,,46.0,49.0,80.09,52.6,83.3,16.7,54.6,19.9,3.6,4.9,160,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/archer-high-school-5957
Parkview High School,Public,9-12,998 Cole Rd Sw,Lilburn,Georgia,30047,,(770) 921-2874,33.8595,-84.1139,Large Suburb,3279,18,,,,,,,,,,,849.0,897.0,778.0,755.0,Gwinnett County School District,,32.0,44.0,77.08,58.6,81.0,19.0,27.4,28.8,20.7,3.8,178,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/parkview-high-school-5940
Lanier High School,Public,9-12,918 Buford Hwy,Sugar Hill,Georgia,30518,,(678) 765-4040,34.086,-84.0322,Large Suburb,1861,16,,,,,,,,,,,508.0,470.0,446.0,437.0,Gwinnett County School District,,32.0,49.0,85.64,45.8,64.7,35.3,20.6,29.7,9.2,4.7,116,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/lanier-high-school-91591
Mcclure Health Science High School,Public,9-12,3921 Club Pl,Duluth,Georgia,30096,,(770) 806-7900,33.943411,-84.13674,Large Suburb,1171,16,,,,,,,,,,,362.0,302.0,257.0,250.0,Gwinnett County School District,,20.0,32.0,50.92,88.4,97.8,2.2,16.0,70.1,10.2,1.3,73,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/mcclure-health-science-high-school-409383
Mountain View High School,Public,9-12,2351 Sunny Hill Rd,Lawrenceville,Georgia,30043,,(678) 407-7600,34.0519,-83.9515,Large Suburb,2285,17,,,,,,,,,,,635.0,541.0,586.0,523.0,Gwinnett County School District,,34.0,46.0,76.15,51.5,74.1,25.9,29.8,29.8,10.6,3.6,134,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/mountain-view-high-school-5958
Seckinger High School,Public,9-12,3655 Sardis Church Road,Buford,Georgia,30519,,(678) 288-0800,34.078935,-83.911771,Large Suburb,2008,19,,,,,,,,,,,564.0,618.0,486.0,340.0,Gwinnett County School District,,37.0,43.0,81.94,46.3,72.3,27.7,28.4,21.5,17.5,4.4,108,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/seckinger-high-school-432012
Grayson High School,Public,9-12,50 Hope Hollow Rd,Loganville,Georgia,30052,,(770) 554-1071,33.8686,-83.9239,Large Suburb,3480,18,,,,,,,,,,,996.0,887.0,830.0,767.0,Gwinnett County School District,,19.0,49.0,69.67,54.4,88.4,11.6,57.9,18.8,6.2,5.0,199,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/grayson-high-school-5952
Collins Hill High School,Public,9-12,50 Taylor Rd,Suwanee,Georgia,30024,,(770) 682-4100,34.0163,-84.0207,Large Suburb,2605,17,,,,,,,,,,,646.0,759.0,566.0,634.0,Gwinnett County School District,,17.0,44.0,65.74,57.1,84.6,15.4,35.3,33.2,10.6,5.3,155,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/collins-hill-high-school-5939
Dacula High School,Public,9-12,123 Broad St,Dacula,Georgia,30019,,(770) 963-6664,33.9908,-83.9008,Large Suburb,2534,18,,,,,,,,,,,704.0,665.0,608.0,557.0,Gwinnett County School District,,29.0,41.0,67.82000000000001,60.8,84.6,15.4,48.9,27.2,4.3,3.9,142,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/dacula-high-school-5943
Duluth High School,Public,9-12,3737 Brock Rd,Duluth,Georgia,30096,,(770) 476-5206,34.01,-84.1438,Large Suburb,2666,16,,,,,,,,,,,636.0,720.0,668.0,642.0,Gwinnett County School District,,24.0,41.0,57.63,65.9,88.3,11.7,23.8,48.3,11.7,4.2,162,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/duluth-high-school-5941
Discovery High School,Public,9-12,1335 Old Norcross Rd,Lawrenceville,Georgia,30046,,(678) 226-4250,33.955305,-84.034354,Large Suburb,2730,16,,,,,,,,,,,652.0,721.0,686.0,671.0,Gwinnett County School District,,17.0,27.0,43.98,77.3,95.5,4.5,28.9,56.6,7.9,1.9,175,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/discovery-high-school-153362
Central Gwinnett High School,Public,9-12,564 W Crogan St,Lawrenceville,Georgia,30046,,(770) 963-8041,33.9488,-84.0003,Large Suburb,2444,15,,,,,,,,,,,696.0,694.0,574.0,480.0,Gwinnett County School District,,17.0,34.0,47.45,74.4,90.3,9.7,42.6,38.8,4.5,4.1,168,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/central-gwinnett-high-school-5944
Norcross High School,Public,9-12,5300 Spalding Dr,Norcross,Georgia,30092,,(770) 448-3674,33.967,-84.212,Large Suburb,2395,14,,,,,,,,,,,608.0,650.0,607.0,530.0,Gwinnett County School District,,13.0,30.0,37.26,74.5,87.8,12.2,24.5,56.4,4.0,2.9,171,,,US News,https://www.usnews.com/education/best-high-schools/georgia/districts/gwinnett-county-school-district/norcross-high-school-5945
